Pattern_Amp_CH-1	Pattern_Amp_CH-2	Pattern_Amp_CH-3
0.419808	0.513868	0.0663235
0.419478	0.514127	0.0663949
0.41915	0.514385	0.0664654
0.418817	0.514647	0.0665353
0.418483	0.514913	0.0666039
0.418145	0.515184	0.0666705
0.417799	0.515466	0.0667345
0.417444	0.515759	0.0667963
0.417088	0.516056	0.0668563
0.416729	0.516357	0.0669141
0.416363	0.516668	0.0669699
0.415991	0.516984	0.0670246
0.415616	0.517306	0.067078
0.415245	0.517627	0.0671286
0.414899	0.517927	0.0671743
0.414587	0.5182	0.0672134
0.414299	0.518454	0.0672471
0.414024	0.518698	0.0672784
0.413749	0.518942	0.067309
0.413474	0.519187	0.067339
0.413202	0.51943	0.0673682
0.412938	0.519666	0.0673966
0.412688	0.519888	0.0674239
0.412457	0.520093	0.0674499
0.41225	0.520276	0.0674747
0.412063	0.520439	0.0674983
0.411889	0.52059	0.0675212
0.411722	0.520733	0.0675452
0.411569	0.52086	0.0675708
0.411441	0.520962	0.067597
0.411334	0.521042	0.067624
0.411237	0.521111	0.0676528
0.411143	0.521174	0.0676832
0.411053	0.521232	0.0677147
0.410977	0.521277	0.0677462
0.410924	0.5213	0.0677764
0.41089	0.521305	0.0678046
0.410867	0.5213	0.0678325
0.410847	0.521289	0.067864
0.41083	0.521269	0.0679011
0.410818	0.521241	0.0679418
0.410813	0.521204	0.0679829
0.41081	0.521166	0.0680242
0.410799	0.521134	0.0680674
0.410784	0.521102	0.0681141
0.410773	0.521062	0.0681649
0.410766	0.521014	0.0682199
0.410761	0.520961	0.0682777
0.410764	0.5209	0.0683359
0.41078	0.520827	0.0683929
0.410804	0.520746	0.0684503
0.410828	0.520661	0.0685115
0.410847	0.520575	0.0685782
0.410867	0.520486	0.0686477
0.410893	0.520389	0.0687188
0.410926	0.520281	0.0687937
0.410968	0.520156	0.0688759
0.411016	0.520018	0.0689666
0.411062	0.519874	0.0690646
0.411103	0.519731	0.0691665
0.411135	0.519598	0.0692665
0.411154	0.519484	0.0693614
0.411163	0.519384	0.0694535
0.411176	0.51928	0.0695448
0.411205	0.51916	0.0696352
0.411254	0.51902	0.0697262
0.411319	0.518859	0.0698219
0.411389	0.518686	0.0699254
0.411445	0.518519	0.070036
0.411485	0.518365	0.0701502
0.41151	0.518225	0.070265
0.411513	0.518108	0.0703795
0.411494	0.518012	0.0704941
0.411464	0.517927	0.0706083
0.411425	0.517856	0.0707194
0.411364	0.51781	0.0708261
0.411288	0.517785	0.0709269
0.411215	0.517766	0.0710187
0.411156	0.517741	0.0711029
0.411104	0.517711	0.0711853
0.411049	0.517682	0.0712688
0.410988	0.517659	0.0713528
0.41092	0.517642	0.0714384
0.410846	0.517627	0.0715272
0.410766	0.517615	0.0716186
0.410679	0.517612	0.0717084
0.410581	0.517625	0.0717947
0.410469	0.517652	0.0718794
0.41035	0.517686	0.0719641
0.410226	0.517725	0.0720491
0.410095	0.517771	0.0721339
0.409962	0.51782	0.0722174
0.409848	0.517855	0.0722963
0.40976	0.517873	0.0723676
0.40968	0.517889	0.0724317
0.409599	0.51791	0.0724909
0.409532	0.517923	0.0725451
0.409498	0.517908	0.0725937
0.409507	0.517858	0.0726351
0.409552	0.51778	0.0726678
0.409617	0.517688	0.0726944
0.409689	0.517593	0.0727188
0.409765	0.517493	0.0727429
0.409853	0.51738	0.0727666
0.409953	0.517259	0.0727884
0.410056	0.517135	0.0728092
0.410163	0.517005	0.0728317
0.410278	0.516866	0.0728564
0.410405	0.516714	0.072881
0.410545	0.516551	0.072904
0.410694	0.51638	0.0729257
0.410847	0.516204	0.0729494
0.410995	0.516026	0.0729791
0.411136	0.515846	0.0730181
0.411269	0.515664	0.0730666
0.411397	0.515481	0.0731217
0.411526	0.515295	0.0731785
0.411659	0.515107	0.073234
0.411789	0.514924	0.0732872
0.411917	0.514745	0.0733381
0.412051	0.514561	0.0733871
0.412201	0.514365	0.0734337
0.412367	0.514155	0.0734782
0.412537	0.513939	0.0735246
0.412701	0.513721	0.0735772
0.412857	0.513506	0.0736376
0.413003	0.513291	0.0737059
0.413143	0.513076	0.0737812
0.413276	0.512863	0.0738605
0.413399	0.512661	0.0739401
0.413504	0.512478	0.0740178
0.41359	0.512313	0.0740964
0.413662	0.512156	0.0741816
0.413723	0.512002	0.0742754
0.413771	0.511856	0.0743734
0.413807	0.511722	0.0744712
0.413839	0.511594	0.0745672
0.413876	0.511462	0.0746618
0.413921	0.511323	0.0747561
0.413976	0.511173	0.0748516
0.414036	0.511015	0.074949
0.414098	0.510854	0.0750481
0.414156	0.510696	0.0751476
0.414207	0.510547	0.0752461
0.414248	0.510408	0.0753435
0.414285	0.510274	0.0754413
0.414321	0.510139	0.0755405
0.414354	0.510006	0.0756392
0.414386	0.509878	0.075736
0.414421	0.509748	0.0758309
0.414453	0.509626	0.0759219
0.41447	0.509521	0.0760089
0.414476	0.509429	0.0760945
0.414475	0.509343	0.0761817
0.414461	0.509265	0.0762741
0.414428	0.5092	0.0763712
0.414373	0.50916	0.0764672
0.414304	0.509138	0.0765579
0.414239	0.50912	0.0766414
0.414174	0.509112	0.0767136
0.414099	0.509126	0.0767742
0.414013	0.50916	0.076827
0.413901	0.509226	0.0768724
0.41376	0.50933	0.0769094
0.413607	0.509452	0.0769413
0.413451	0.509577	0.076972
0.413301	0.509696	0.0770027
0.413172	0.509796	0.0770322
0.413063	0.509877	0.0770597
0.41296	0.509954	0.0770867
0.412854	0.510031	0.0771144
0.412752	0.510107	0.0771405
0.412648	0.510189	0.0771625
0.412532	0.510287	0.0771804
0.412402	0.510404	0.0771943
0.412263	0.510531	0.0772064
0.412121	0.51066	0.077219
0.411982	0.510787	0.0772314
0.411846	0.510914	0.0772405
0.411713	0.511042	0.077245
0.411583	0.511172	0.0772455
0.411441	0.511318	0.0772407
0.411271	0.5115	0.0772292
0.411073	0.511714	0.0772128
0.41086	0.511945	0.0771953
0.410643	0.512178	0.0771788
0.410427	0.512413	0.0771603
0.410217	0.512646	0.0771376
0.410013	0.512875	0.0771121
0.409811	0.513102	0.0770863
0.409617	0.513322	0.0770607
0.409444	0.513522	0.0770347
0.409303	0.513689	0.0770079
0.409191	0.513828	0.0769811
0.409091	0.513953	0.0769552
0.40899	0.51408	0.0769294
0.40888	0.514216	0.0769031
0.408762	0.51436	0.0768772
0.408638	0.51451	0.0768525
0.408507	0.514665	0.0768285
0.408373	0.514822	0.0768052
0.408239	0.514977	0.0767841
0.408107	0.515127	0.0767666
0.407979	0.515268	0.0767529
0.407862	0.515396	0.076742
0.407755	0.515511	0.0767333
0.407656	0.515618	0.0767261
0.407557	0.515723	0.0767206
0.407459	0.515825	0.0767165
0.407368	0.515919	0.0767136
0.407283	0.516004	0.0767129
0.4072	0.516084	0.0767162
0.407122	0.516154	0.0767237
0.407061	0.516205	0.0767341
0.40703	0.516225	0.0767447
0.407037	0.516211	0.0767524
0.40707	0.516174	0.0767563
0.407109	0.516135	0.0767565
0.407147	0.5161	0.0767532
0.407197	0.516056	0.0767469
0.40727	0.51599	0.0767395
0.40736	0.515907	0.0767328
0.407452	0.515821	0.076727
0.407543	0.515735	0.0767216
0.407644	0.515641	0.0767149
0.407757	0.515537	0.076706
0.407872	0.515431	0.0766969
0.407978	0.515331	0.076691
0.408074	0.515237	0.0766889
0.408161	0.51515	0.0766891
0.408234	0.515073	0.0766934
0.40829	0.515005	0.0767046
0.408335	0.514944	0.0767204
0.408377	0.514886	0.0767376
0.408415	0.514827	0.0767571
0.408459	0.514762	0.0767795
0.408517	0.51468	0.0768025
0.408599	0.514578	0.0768229
0.408708	0.514452	0.0768392
0.408853	0.514294	0.0768525
0.409029	0.514107	0.076864
0.409217	0.513909	0.0768747
0.409402	0.513713	0.076885
0.40959	0.513516	0.0768938
0.409791	0.51331	0.076899
0.410011	0.513089	0.0768998
0.410237	0.512866	0.0768963
0.410458	0.512653	0.0768894
0.410682	0.512438	0.0768802
0.41092	0.512211	0.0768685
0.411169	0.511977	0.0768546
0.411414	0.511747	0.07684
0.411643	0.511532	0.0768246
0.411839	0.511355	0.0768066
0.411985	0.511231	0.0767842
0.412094	0.511147	0.0767586
0.412193	0.511075	0.0767317
0.412294	0.511003	0.0767032
0.412397	0.51093	0.076673
0.412503	0.510855	0.0766418
0.412618	0.510774	0.0766084
0.412755	0.510673	0.0765719
0.412914	0.510553	0.0765329
0.413077	0.510432	0.0764915
0.413235	0.510318	0.0764464
0.413405	0.510199	0.076396
0.413595	0.510066	0.0763389
0.413799	0.509926	0.0762753
0.414007	0.509786	0.076207
0.41421	0.509654	0.0761358
0.414411	0.509526	0.0760634
0.414613	0.509395	0.0759913
0.414814	0.509266	0.07592
0.415004	0.509147	0.0758488
